actor_id,actor
15757,Ray Romano
2192,Lambert Wilson
19274,Seth Rogen
57395,Natasha Henstridge
141373,David Bierend
13399,Lloyd Bochner
135571,Robert Deacon
10822,Stephen Dorff
1073501,Gina Montana
545344,Mishael Morgan
89819,Zachary Gordon
83859,Leonard Roberts
1263114,Valerie Meachum
5578,Debi Mazar
8395,Luke Perry
11998,Eddie Albert
1103727,Paul Eenhoorn
33321,Sam J. Jones
999605,Ahna O'Reilly
82807,Lydia Leonard
56586,Chris Pontius
1109702,Karan Soni
1226764,Jeremy James Kissner
143017,Frederick Weller
7077,Scatman Crothers
12974,Leon Robinson
9827,Rose Byrne
30003,Ginger Rogers
36059,Joanna Pacula
151192,Ted Wass
8725,Olivia de Havilland
82923,Bérénice Bejo
1215283,Paul Soles
29508,Barret Oliver
86170,Audrey Wasilewski
23592,Tommy the Clown
1327400,Andy Hirsch
158165,Rickey D'Shon Collins
19899,Dennis Storhøi
87773,Aishwarya Rai Bachchan
270,Adriana Barraza
56890,Malcolm McDowell
203683,Sonja Sohn
1393178,Hadley Belle Miller
82987,Candy Ford
132857,Eric Wareheim
23776,Matt King
11007,Ray Park
31712,William Converse-Roberts
65344,Esai Morales
7676,William Atherton
25868,Vicellous Reon Shannon
136532,Matt Smith
1204,Julia Roberts
19505,Mitchell Whitfield
1174142,David Jason Perez
10963,José Zúñiga
11512,John Heard
166818,Jason Davis
32396,Richard Belzer
34915,Kristin Booth
589131,John Bolen
38661,Christian Byers
216,Josh Flitter
3270,Natasha Gregson Wagner
16857,Tom Everett Scott
118200,Gabriella Wright
4201,Wayne Knight
1414734,Neel Sethi
31135,Jermaine Williams
55084,Sean Faris
43933,Adrien Dorval
19889,Bob Dishy
5471,Naveen Andrews
130536,Justin Kline
20054,Elaine Cassidy
1033547,Brady Allen
1107800,CJ Adams
55097,Nate Hartley
49818,Jacqueline Obradors
53922,Ed Quinn
41798,George Lopez
67838,Marianne Hagan
17286,Lena Headey
1697880,Natalie Welch
15050,Leah Remini
1175784,Candace Evanofski
148102,Caroline Junko King
78896,Elizabeth Allen
651,Louise Lemoine Torrès
19867,Staffan Kihlbom
17005,Doug Jones
6730,Sacha Baron Cohen
9195,Hiroyuki Sanada
64908,Lisa Gay Hamilton
1111712,"Brendan ""Doogie"" Milewski"
17287,Dominic West
821,Beverly D'Angelo
171522,Anthony Ruivivar
222129,James Wolk
59743,Jaime Tirelli
8903,Dody Goodman
37008,Michael Bailey Smith
1080195,Vicky Krieps
8225,Barry Foster
30364,Tracey Ullman
17358,Kim Staunton
69951,Milton Berle
64741,John D. LeMay
4451,Mark Webber
98106,Rich Fulcher
33196,Jake Lloyd
58727,Jamie Renée Smith
61659,Chris Messina
195653,Mark Adams
53283,Jonathan Taylor Thomas
96175,Ann Lynn
35597,Jenny McCarthy
3160,Nehemiah Persoff
17442,Kelli Garner
103861,John Altamura
7333,Darren McGavin
193,Gene Hackman
1926,Eddie Izzard
27031,Tim Griffin
60021,Christopher Evan Welch
93839,Sheila Hancock
28641,Terence Stamp
67850,Riley Smith
934,Russell Crowe
117885,Gattlin Griffith
15183,Tony Lo Bianco
53057,Nathan Corbett
52404,Mae Whitman
80998,Юлия Снигирь
20186,Damian Lewis
59129,Óscar Jaenada
234352,Margot Robbie
7904,Billy Crystal
34612,Anna Chlumsky
12515,José Ferrer
6105,Richard Lewis
179508,Gary Valentine
98100,Rachael Robbins
74338,Carey Means
12949,Priscilla Presley
141718,Samuele Amighetti
4784,Laura Dern
785,James Russo
1287269,Scott Mortensen
68642,Mildred Dunnock
1329,Billy Boyd
23608,Colin Stinton
78031,Cassandra Scerbo
106712,Michael Kanev
87822,Damon Wayans Jr.
8926,Barbara Jefford
1286655,Zen McGrath
253,Douglas Rain
14528,Yul Brynner
7621,Courtney Love
234479,Dakota Goyo
19977,Liam Aiken
146598,Mick Partridge
1514635,C. Fraser Press
49706,Adam Rodríguez
111090,Javier Botet
422214,Bill Johnson
82581,Joe Howard
56262,Aaron Abrams
110,Viggo Mortensen
37292,Adrienne Pickering
77821,Danny Midwinter
54450,Gavin MacLeod
8852,Michele Lamar Richards
2395,Whoopi Goldberg
5048,Harry Dean Stanton
644,Blanchard Ryan
777,Judge Reinhold
110927,Penn Badgley
57192,Spencer Locke
122889,Dane DeHaan
231547,Chris Zylka
57574,Shauna Macdonald
2536,Michael Parks
1052104,Edmund McMillen
7673,Bonnie Bedelia
161909,Brighton Hertford
1518,Frances O'Connor
17351,Larry Bryggman
6692,Caroline Goodall
9258,Steven Ford
1140264,Jennifer Prior
31364,Sarah Douglas
2482,David O'Hara
133980,Jake Weary
501,Dakota Fanning
86923,Caroline Williams
107709,Chris Bisson
63608,Jason Watkins
11863,Sarah Michelle Gellar
72129,Jennifer Lawrence
20156,"Sammy Davis, Jr."
81682,Bojana Novaković
85214,Ginny Weirick
98953,Jerry Ferrara
1420622,Naomi Brockwell
123992,Rocky Mayor Anderson
200065,Chelsea Rendon
3796,Michael Gough
3075,Rory McCann
13294,Gene Kelly
77075,Norm Macdonald
15555,Piper Perabo
55463,Jessica Stroup
8985,Margaret Colin
1893,Casey Affleck
974,Dexter Fletcher
65829,Wood Harris
68046,Anna Keaveney
69709,Uday Chopra
4935,Pete Postlethwaite
58780,Padma Lakshmi
21593,Jason Biggs
15091,Melanie Lynskey
64200,David Kagen
18355,Alex Winter
62066,Faizon Love
38940,Evan Rachel Wood
107711,Peter Ash
204420,Josh Blacker
94098,Gillian Jacobs
10476,Corinne Cléry
3088,Sterling Hayden
996700,Dax Flame
4030,Martin Klebba
54594,Jason Earles
59090,Nichole Hiltz
41234,Judy Geeson
11854,Ian Charleson
58856,Tenzin Thuthob Tsarong
88593,Himesh Reshammiya
28640,Molly Shannon
25308,Vanessa Angel
18326,Dennis Miller
938096,Miloš Timotijević
117617,Marisa Pavan
2231,Samuel L. Jackson
6407,Marley Shelton
1040002,Serena Iansiti
116333,Will Shortz
76857,Joaquín Cosio
60950,David Spade
213388,Caerthan Banks
6858,Mike Vogel
1167019,Valerie Spelman
47984,Melanie Brown
7908,Frank Oz
19208,Matt Malloy
2136,Michael Emerson
3361,George Sanders
204975,Andrea Brooks
180486,Gina Rodriguez
46772,Marc Blucas
2157,Robin Williams
4160,Helen Shaver
163911,Alexis Chang
143242,Terrence Jenkins
51856,Jenna Fischer
65346,Eru Potaka-Dewes
84275,Joshua Olatunde
53055,Jeff Lima
1213535,R. Brandon Johnson
11315,Noah Emmerich
82417,Russell Peters
1469633,Nick Rotteveel
137391,Jordan Brower
11107,Ben Foster
441567,James Adomian
1292123,Leonardo Giron
80758,Boris Kodjoe
82639,Ophelia Lovibond
147722,Alexandra Williams
12124,Steven Brown
26485,Jim Belushi
7685,Raymond Burr
11464,Betsy Baker
4000,Elizabeth Berridge
33399,Bronagh Gallagher
48960,Mary Philips
90440,Ross Noble
458843,Cee Lo Green
20173,Don McKellar
46927,Josh Hammond
583456,Morgan Peter Brown
14795,Allen Joseph
6167,Judd Hirsch
76624,Shane Carruth
42708,Rob LaBelle
45465,Edith Evans
16501,Milo Ventimiglia
741,River Phoenix
1116373,Larry Klein
52419,Josh Hamilton
114036,Evan Helmuth
124562,Rachel Clift
137471,Julia Deakin
210135,Kathy Uyen
23593,Miss Prissy
95137,Jonathan Keltz
168610,Kathleen Munroe
31703,Stan Alexander
978,Steven Mackintosh
1354401,Tony Oppedisano
9873,Jack Lord
15338,William Mapother
10427,Anne Archer
53718,Erin Boyes
58521,Constance Shulman
10676,Gladys Knight
225622,Laura Chinn
21044,Lynn Collins
1844,Til Schweiger
56055,Deanna Oliver
73283,Peter McDonald
1067238,Igor Zaripov
77117,Angus T. Jones
1089193,Anthony Rutowicz
475512,Ellie Kemper
1006136,David Cale
10859,Ryan Reynolds
9287,Robert Blake
119818,Nicholas Brown
41229,Meg Foster
93228,Louis Herthum
526727,Freya Tingley
76129,Albert Daniels
22082,Lacey Chabert
52970,Sarala
25879,Geoff Pierson
206946,Brian Keith Allen
21965,Valentina Cervi
17108,Jonathan Caouette
194370,Kevin King
28781,Christian Clavier
1173,Mark Margolis
20053,Eric Sykes
16165,Jon Lovitz
225694,Oliver Cooper
22810,Andy Nyman
235023,Gareth Reeves
71766,Peter Bart
55412,Steve Toussaint
15294,Rawiri Paratene
37233,Kareena Kapoor
80602,Tyler Perry
10993,Tom Felton
969460,Gemma-Leah Devereux
142359,Cyndi Mayo Davis
79699,Lisa Flanagan
650,Karen Allen
55922,Didier Bezace
22128,Geoff Stults
1006733,Tara Holt
20220,Elden Henson
12801,Razaaq Adoti
77165,Virginia McKenna
90778,Orianthi
80990,Virginia Capers
385,Ian Richardson
1192652,Justin Braine
19393,Wilson Jermaine Heredia
1133349,Elizabeth Debicki
41088,Jason Segel
235782,Vanessa Martinez
702,Philip Tan
16832,Tony Hawk
10713,Eric Idle
115150,Kaya Scodelario
1951,Elisabeth Shue
10138,Brian Haley
5350,Bronwen Coleman
38025,Kristin Davis
298410,Keegan-Michael Key
36637,Brandon Smith
1121223,Alec Wilson
93934,Ron Carlson
232684,Molly Dunsworth
11805,Frank Whaley
21624,Judd Nelson
151022,Richard Glover
110172,Anand Upadhyaya
16828,Chris Evans
1198286,Ed Oxenbould
83733,Michelle Van Der Water
1189293,Erin Pitt
1523142,Grant Boyd
17078,Michael Smiley
11852,Saeed Jaffrey
83338,Elissa Dowling
47336,Marc Lavoine
150,RZA
12795,Nikolaj Coster-Waldau
12248,Alec Guinness
1186840,Sterling Jerins
21179,John Benjamin Hickey
50877,Jill Hennessy
129104,Melissa Benoist
3380,Bette Davis
52647,Shawn Hatosy
52049,Jay Chandrasekhar
1206,Jason Alexander
16097,Jay Robinson
45124,Glen Hansard
1104,Jesse Ventura
1233673,Brian Sites
956483,Steven Wollenberg
212833,Nicky Whelan
35109,Miriam Flynn
3977,Joe Morton
81544,Kelly Reno
20746,Justin Chambers
69614,Brad Loree
6916,Peter Jason
15852,Ashley Judd
46948,Kelly LeBrock
113745,Sarah Farooqui
10939,Bernie Casey
60796,Jerry Grayson
1330999,Madison Wolfe
2369,Michael Lonsdale
93564,Pihla Viitala
36900,John Sharian
1231,Julianne Moore
15543,Derek Luke
87886,Michael Brainard
1108531,Trish Cook
1466,Charles Durning
58181,Wilt Chamberlain
1070684,Luz Garcia
3391,Kathleen Turner
74689,Rupert Davies
72968,Eduardo Verástegui
4970,Ruth Gordon
21633,Kai Lennox
970275,Stephen Dervan
1075028,Paul Mann
10866,Eric Bogosian
8170,Eva Mendes
71198,Christian Kane
2051,María Conchita Alonso
35476,Brittany Daniel
65132,Don Curry
97777,Ethel Barrymore
11884,Kate Greenhouse
20051,Alakina Mann
82841,Joe Bishop
148096,Miles Heizer
1646,Udo Kier
1218183,Lamman Rucker
4581,Steve Coogan
103707,Austin Stoker
1140164,Danielle Safady
129024,Jenn Proske
54649,Louis Mandylor
3798,Pat Hingle
155808,Ginuwine
46433,Dick Clark
13483,Gaye Brown
70243,Eartha Kitt
2561,Victor Argo
4069,Katy Jurado
1300289,Glen-Paul Waru
10743,Ricky Jay
52708,Andy Davoli
99829,Severn Darden
57492,Morgan Spurlock
2111,Rosanna DeSoto
58681,Ella Joyce
972356,Luke Bracey
2039,Brendan Gleeson
221809,Taylor Schilling
94440,Gregory Marcel
19306,Malcolm Stumpf
8265,John Michael Higgins
1369,Bernard Hill
574094,Esther Wurmfeld
58793,Sarah Ann Schultz
29235,Lucy Cohu
1187713,Sajan Bhagat
68935,Nati Abascal
33016,Terry Funk
18514,Asia Argento
43893,Kimberly J. Brown
76102,Gene Dinovi
43662,Anne Suzuki
223331,Sky Ferreira
66554,Kadeem Hardison
21105,Jay Thomas
41421,Jennifer Morrison
10539,Kim Hunter
5129,Paul Reubens
1639314,Perry Laylon Ojeda
1121,Benicio del Toro
61697,Sung Kang
1306206,Victoria Sus
11382,Ryuichi Sakamoto
62003,James Morrison
34490,Sarah Paulson
3272,Drake Bell
4489,Steve Oedekerk
31137,Brian J. White
81096,Joshua Close
25703,Lake Bell
11288,Robert Pattinson
57143,Mark Dymond
1188193,John Hoogenakker
8692,Eddie Jones
33528,Joseph Cross
1513914,"Chad ""Gunner"" Lail"
214839,Akon
76525,Gerry Bednob
19144,Shannen Doherty
11110,Kate Ashfield
1562420,Vivienne VanHorn
1052102,Jonathan Blow
21245,Greta Scacchi
1756,Stephen Collins
209513,Macon Blair
62417,Richard Ng
15443,Mark Bringelson
1173984,Olivia Cooke
1036,Cybill Shepherd
1557921,Ramiro Rodriguez
47334,Nutsa Kukhianidze
4687,Patricia Arquette
96625,Minka Kelly
6949,John Malkovich
30720,Suzanne Flon
43366,Ann Dowd
268743,James Gilbert
37046,Dania Ramirez
33192,Joel Edgerton
57428,Michael Landes
78110,Scott Adkins
38524,Lothaire Bluteau
93210,Domhnall Gleeson
3294,Sharon Small
25382,Megalyn Echikunwoke
57855,Joanna 'JoJo' Levesque
1283840,Christopher Hatherhall
141349,Alex Barringer
60846,Pat Healy
55254,Frederique van der Wal
19839,David Paymer
582441,Phil Woosnam
2115,Kurtwood Smith
14060,Robert Vaughn
26662,Jennifer O'Neill
3492,Colin Hanks
1340664,Ava Acres
131771,Kirby Bliss Blanton
139,Uma Thurman
41313,Moa Khouas
133,Peter Sarsgaard
1686692,Angelo Josue Lozano Corzo
1181403,Pixie Davies
2076,David Warner
73710,Raad Rawi
1326419,Johnny A. Wright
126669,Tara Alice Scully
27122,Matthew Walker
84763,Joey Kern
79082,Randall Park
57167,Jere Burns
557885,Moazzam Begg
1525961,Elizabeth Stenholt
40481,Luis Guzmán
9565,Louise Lasser
23708,Lou Jacobi
10167,George Lazenby
2437,Edward Everett Horton
60033,Yaya DaCosta
6971,Nigel Lindsay
76886,Betsy Rue
188311,Eric Ladin
98103,Richard Ayoade
134235,Jake Hoffman
21315,Eric Roberts
34844,Monet Mazur
1232172,Shanelle Workman
21354,Russell Wong
3129,Tim Roth
154341,Lark Voorhies
517,Pierce Brosnan
85730,Sunil Shetty
1184767,Gustine Fudickar
1555913,Adrian James
934243,Halston Sage
65038,Heidi Kling
52929,Angie Harmon
96671,Mick Lally
10774,Anne Bancroft
3151,Jack Lemmon
58430,Ruth Bradley
51544,Mare Winningham
41737,Tony Plana
97188,Steve Schirripa
12074,John Lithgow
935201,Diego Boneta
559207,Synnøve Macody Lund
17052,Topher Grace
69482,Victoria Davis
19222,Rachel True
350,Laura Linney
88597,Jay Paulson
14699,Pamela Reed
11111,Lucy Davis
78596,Rebekah Johnson
53577,Maxwell McCabe-Lokos
85563,Brian Herzlinger
108074,Jennifer Tung
141603,Adele Givens
4778,Melinda Dillon
7905,Mary Gibbs
131781,Adelaide Kane
66257,Owen Kline
47986,Melanie Chisholm
1283,Helena Bonham Carter
109786,Alex Feldman
10215,Paul McCartney
587020,Theo James
57411,Darius Rose
60905,Steven Crowder
11749,Sarah Berry
20788,Artie Lange
1937,Mickey Rooney
58100,Ron Haddrick
47137,Milo O'Shea
62831,Will Forte
235361,Bruce Jones
8436,Miranda Richardson
173251,Alison Moir
98271,Brie Gabrielle
58528,James Urbaniak
28863,Renoly Santiago
15152,James Earl Jones
549981,Katarina Cas
56163,Sascha Rosemann
125459,Harry Secombe
4764,John C. Reilly
52969,Lisa Ray
13579,Virginia Mayo
58016,Anna Friel
1263939,Nichole Ceballos
1047315,Randy Jones
4689,Bronson Pinchot
36586,Paulina Gaitán
6474,James Le Gros
19394,Idina Menzel
26491,Vernon Wells
6679,Richard Beymer
33337,Eric Johnson
106249,Jeffrey Rogers
41214,Forrest Tucker
205854,Zachary Booth
1249201,Erik Larsen
2169,Michael Jeter
1223786,Emilia Clarke
1178795,Ben Diskin
555977,Duncan Fisher
15655,Kim Darby
85177,Creed Bratton
58963,Josh Henderson
15250,Hope Davis
19143,Jason Priestley
49624,Jensen Ackles
12640,David Duchovny
39709,Kate Reid
93821,Judy Marte
1086505,Elizabeth Mkandawie
74376,Cem Yılmaz
61303,Dick Van Dyke
10478,Jeanne Tripplehorn
1943,John McGiver
7666,Henry Travers
6450,Faye Dunaway
55315,Daniel E. Smith
18391,Lee Marvin
29512,Gerald McRaney
51792,Rory Cochrane
55958,Kim Myers
58858,Tsewang Migyur Khangsar
1140162,Elena Schuber
135798,Shannen Fields
1478271,Caroline Barry
114765,Matthew Schallipp
81667,Jennifer Hale
131,Jake Gyllenhaal
44038,Nancy Allen
2962,Robert Foxworth
62042,Carole Davis
1225512,Shaun Fleming
1199000,LaJessie Smith
61604,Penny Balfour
7134,Brent Hinkley
19278,Bill Hader
9629,Jon Gries
87400,Brian Bosworth
49561,Marit Pia Jacobsen
4111,Ingrid Bergman
76245,Adam Carolla
97587,David Pledger
12111,Justin Timberlake
6278,Devon Aoki
33488,Helen Slater
1125,Ewen Bremner
1219959,James Thornton
84518,Jacob Davich
22226,Paul Rudd
94429,Jackson Walker
932160,Arcelia Ramírez
42168,Nancy Fish
10411,Barry Nelson
41042,Danny Dyer
84732,Ayanat Ksenbai
995457,Chloe Csengery
1473957,Michael Aaron Milligan
86237,Joe Pingue
7167,Don Rickles
1396573,Elisabeth Wagner
77917,Wendy Talley
930215,Jason Burkey
53184,Rick Gonzalez
114604,Maree Cheatham
5892,David Hewlett
6396,Richard Edson
31171,Julie Bowen
10912,Eva Green
236022,Kimberly Guerrero
15699,William Campbell
862,George C. Scott
56658,Daniel Studi
351,Judy Davis
1062,Christopher Lloyd
18269,Brendan Fraser
6886,Christina Ricci
110742,Tika Sumpter
15576,Matthew Macfadyen
9205,Denise Richards
2974,Roger Yuan
23498,Alexander Ludwig
10402,Alanna Ubach
1374980,Rhonda Britton
8986,James Rebhorn
104789,Bonz Malone
19540,Peter Cullen
146268,Nick Frangione
62036,Robert Carradine
3267,George Hamilton
82220,Danielle von Zerneck
90514,Birgitte Hjort Sørensen
69122,Heather Graham
1166,Harris Yulin
221607,Chris Colfer
1004404,Robert Acinapura
13633,Mark Addy
65031,Michael Legge
827,Elliott Gould
127544,Bentley Mitchum
43476,Chloe Webb
2517,Donna Murphy
17441,Lou Taylor Pucci
1327613,Karl Glusman
21007,Jonah Hill
1796,Kirstie Alley
933002,Amara Miller
69748,Tristine Skyler
61363,Alex Pettyfer
77334,Chandler Canterbury
20005,Moira Kelly
21798,Johnny Messner
12931,Rita Wilson
16293,Anthony Heald
42967,Arabella Holzbog
17522,Cécile de France
41043,Tim McInnerny
1244469,Louise Brealey
17874,Fred Dalton Thompson
6383,Aaron Eckhart
77870,Glenn Howerton
78431,Ben Feldman
119598,Phylicia Rashād
34842,Tony Amendola
60739,Kath Soucie
591785,Joyful Drake
90455,Aryana Engineer
80289,Jay R. Ferguson
1697835,Sharon Bollum
151254,Chelsea Handler
91643,Katie Jarvis
8691,Zoe Saldana
21474,Leslie Stefanson
110800,Alastair Duncan
1193604,Jack Kilmer
82663,Shannon Woodward
389,Alison Eastwood
1180559,Leo Minaya
164945,Sarah Shahi
1218072,Ellen Muth
21104,Glenne Headly
11659,David Bowe
1263944,Gabrielle Santamauro
208296,Callan Mulvey
3712,Saul Rubinek
8892,Olivia Newton-John
12260,Ron Eldard
