movie_id,title,revenue,tagline,average_vote,popularity,release_date
10193,Toy Story 3,1066969703,No toy gets left behind.,7.6,59.995418,2010-06-16
534,Terminator Salvation,371353001,The End Begins.,5.9,71.862892,2009-05-20
168259,Furious 7,1506249360,Vengeance Hits Home,7.3,102.322217,2015-04-01
72190,World War Z,531865000,Remember Philly!,6.7,81.834855,2013-06-20
127585,X-Men: Days of Future Past,747862775,"To save the future, they must alter the past",7.5,118.078691,2014-05-15
54138,Star Trek Into Darkness,467365246,Earth Will Fall,7.4,78.291018,2013-05-05
81005,Jack the Giant Slayer,197687603,Prepare for a giant adventure,5.5,43.349855,2013-02-27
64682,The Great Gatsby,351040419,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,61.196071,2013-05-10
9543,Prince of Persia: The Sands of Time,335154643,Defy the Future,6.2,62.169881,2010-05-19
68726,Pacific Rim,407602906,"To Fight Monsters, We Created Monsters",6.7,56.523205,2013-07-11
38356,Transformers: Dark of the Moon,1123746996,The invasion we always feared. An enemy we never expected.,6.1,28.529607,2011-06-28
217,Indiana Jones and the Kingdom of the Crystal Skull,786636033,The adventure continues . . .,5.7,75.674458,2008-05-21
105864,The Good Dinosaur,331926147,Little Arms With Big Attitude,6.6,51.692953,2015-11-14
62177,Brave,538983207,Change your fate.,6.7,125.114374,2012-06-21
188927,Star Trek Beyond,343471816,*No Tag Line*,6.6,65.352913,2016-07-07
10681,WALL·E,521311860,An adventure beyond the ordinar-E.,7.8,66.390712,2008-06-22
5174,Rush Hour 3,258022233,The Rush Is On!,6.1,22.57178,2007-08-08
14161,2012,769653595,We Were Warned.,5.6,45.274225,2009-10-10
17979,A Christmas Carol,325233863,Season's Greedings,6.6,39.744242,2009-11-04
76757,Jupiter Ascending,183987723,Expand your universe.,5.2,85.36908,2015-02-04
258489,The Legend of Tarzan,356743061,Human. Nature.,5.5,42.741719,2016-06-29
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957,Evil Has Reigned For 100 Years...,6.7,67.391328,2005-12-07
246655,X-Men: Apocalypse,543934787,Only the strong will survive,6.4,139.272042,2016-05-18
155,The Dark Knight,1004558444,Why So Serious?,8.2,187.322927,2008-07-16
14160,Up,735099082,*No Tag Line*,7.7,92.201962,2009-05-13
15512,Monsters vs Aliens,381509870,"When aliens attack, monsters fight back.",6.0,36.167578,2009-03-19
1726,Iron Man,585174222,Heroes aren't born. They're built.,7.4,120.725053,2008-04-30
44826,Hugo,185770160,One of the most legendary directors of our time takes you on an extraordinary adventure.,7.0,32.319043,2011-11-22
8487,Wild Wild West,222104681,It's a whole new west.,5.1,40.748915,1999-06-29
1735,The Mummy: Tomb of the Dragon Emperor,401128639,A New Evil Awakens.,5.2,60.034162,2008-07-01
297761,Suicide Squad,745000000,Worst Heroes Ever,5.9,90.23792,2016-08-02
2698,Evan Almighty,173000000,A comedy of biblical proportions,5.3,27.082182,2007-06-09
137113,Edge of Tomorrow,370541256,"Live, Die, Repeat",7.6,79.456485,2014-05-27
9804,Waterworld,264218220,Beyond the horizon lies the secret to a new beginning.,5.9,44.640292,1995-07-28
14869,G.I. Joe: The Rise of Cobra,302469017,"When all else fails, they don't.",5.6,32.852443,2009-08-04
150540,Inside Out,857611174,Meet the little voices inside your head.,8.0,128.655964,2015-06-09
278927,The Jungle Book,966550600,*No Tag Line*,6.7,94.199316,2016-04-07
10138,Iron Man 2,623933331,"It's not the armor that makes the hero, but the man inside.",6.6,77.300194,2010-04-28
58595,Snow White and the Huntsman,396600000,The Fairytale is Over,5.8,77.178973,2012-05-30
102651,Maleficent,758539785,Don't believe the fairy tale.,7.0,110.620647,2014-05-28
119450,Dawn of the Planet of the Apes,710644566,One last chance for peace.,7.3,243.791743,2014-06-26
79698,The Lovers,0,Love is longer than life.,4.8,2.418535,2015-02-13
64686,47 Ronin,150962475,For courage. For loyalty. For honor.,5.9,41.796339,2013-12-06
100402,Captain America: The Winter Soldier,714766572,In heroes we trust.,7.6,72.225265,2014-03-20
10192,Shrek Forever After,752600867,It ain't Ogre... Til it's Ogre,6.0,44.041186,2010-05-16
158852,Tomorrowland,209154322,Imagine a world where nothing is impossible.,6.2,130.311355,2015-05-19
177572,Big Hero 6,652105443,From the creators of Wreck-it Ralph and Frozen,7.8,203.73459,2014-10-24
82690,Wreck-It Ralph,471222889,The story of a regular guy just looking for a little wreck-ognition.,7.1,62.341073,2012-11-01
5255,The Polar Express,305875730,This holiday season... believe.,6.4,47.323228,2004-11-10
47933,Independence Day: Resurgence,389681935,We had twenty years to prepare. So did they.,4.9,48.775723,2016-06-22
10191,How to Train Your Dragon,494878759,One adventure will change two worlds,7.5,67.263269,2010-03-05
296,Terminator 3: Rise of the Machines,435000000,The Machines Will Rise.,5.9,69.405188,2003-07-02
118340,Guardians of the Galaxy,773328629,All heroes start somewhere.,7.9,481.098624,2014-07-30
157336,Interstellar,675120017,Mankind was born on Earth. It was never meant to die here.,8.1,724.247784,2014-11-05
27205,Inception,825532764,Your mind is the scene of the crime.,8.1,167.58371,2010-07-14
49051,The Hobbit: An Unexpected Journey,1021103568,From the smallest beginnings come the greatest legends.,7.0,108.849621,2012-11-26
9799,The Fast and the Furious,207283925,Live life 1/4 mile at a time.,6.6,6.909942,2001-06-22
4922,The Curious Case of Benjamin Button,333932083,"Life isn't measured in minutes, but in moments.",7.3,60.269279,2008-11-24
49538,X-Men: First Class,353624124,Witness the moment that will change our world.,7.1,3.195174,2011-05-24
131634,The Hunger Games: Mockingjay - Part 2,653428261,The fire will burn forever.,6.6,127.284427,2015-11-18
27022,The Sorcerer's Apprentice,215283742,It's The Coolest Job Ever.,5.8,35.580815,2010-07-13
503,Poseidon,181674817,Mayday,5.5,21.133748,2006-05-12
241259,Alice Through the Looking Glass,299370084,It's time for a little madness.,6.5,56.268916,2016-05-25
810,Shrek the Third,798958165,Who's ready for Thirds?,6.0,42.986467,2007-05-17
68735,Warcraft,433677183,Two worlds. One home.,6.3,63.148529,2016-05-25
87101,Terminator Genisys,440603537,Reset the future,5.8,202.042635,2015-06-23
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,Return to magic. Return to hope. Return to Narnia.,6.2,49.661984,2010-08-13
676,Pearl Harbor,449220945,It takes a moment to change history. It takes love to change lives.,6.6,34.20669,2001-05-21
1858,Transformers,709709780,Their war. Our world.,6.6,25.468493,2007-06-27
1966,Alexander,167298192,The greatest legend of all was real.,5.6,39.019229,2004-11-21
675,Harry Potter and the Order of the Phoenix,938212738,Evil Must Be Confronted.,7.4,78.144395,2007-06-28
674,Harry Potter and the Goblet of Fire,895921036,Dark And Difficult Times Lie Ahead.,7.5,101.250416,2005-11-05
8960,Hancock,624029371,Bad Behavior. Bad Attitude. Real Hero.,6.2,56.758411,2008-07-01
6479,I Am Legend,585349010,The last man on Earth is not alone,6.9,70.867401,2007-12-14
118,Charlie and the Chocolate Factory,474968763,Willy Wonka is semi-sweet and nuts.,6.7,53.905592,2005-07-13
2062,Ratatouille,623722818,He's dying to become a chef.,7.5,65.677399,2007-06-22
272,Batman Begins,374218673,Evil fears the knight.,7.5,115.040024,2005-06-10
10527,Madagascar: Escape 2 Africa,603900354,Still together. Still lost!,6.2,44.141021,2008-10-30
18360,Night at the Museum: Battle of the Smithsonian,413106170,When the lights go off the battle is on.,5.9,81.781591,2009-05-20
2080,X-Men Origins: Wolverine,373062864,Witness the Origin.,6.2,5.954334,2009-04-28
605,The Matrix Revolutions,424988211,Everything that has a beginning has an end.,6.4,73.313918,2003-11-05
109445,Frozen,1274219009,Only the act of true love will thaw a frozen heart.,7.3,165.125366,2013-11-27
604,The Matrix Reloaded,738599701,Free your mind.,6.7,70.78591,2003-05-15
76338,Thor: The Dark World,644571402,Delve into the darkness,6.8,99.499595,2013-10-29
76341,Mad Max: Fury Road,378858340,What a Lovely Day.,7.2,434.278564,2015-05-13
13448,Angels & Demons,356613439,*No Tag Line*,6.5,67.447636,2009-05-13
10195,Thor,449326618,Two worlds. One hero.,6.6,86.493424,2011-04-21
13053,Bolt,309979994,Fully Awesome. Ridonculous. Let It Begin.,6.3,41.845878,2008-11-21
19585,G-Force,292817841,The world needs bigger heroes,5.1,26.710398,2009-07-21
57165,Wrath of the Titans,301000000,Feel the Wrath,5.5,44.927635,2012-03-27
62213,Dark Shadows,245527149,Every Family Has Its Demons,5.7,50.306728,2012-05-08
177677,Mission: Impossible - Rogue Nation,682330139,Desperate Times. Desperate Measures.,7.1,114.522237,2015-07-23
7978,The Wolfman,0,When the moon is full the legend comes to life,5.5,21.214571,2010-02-11
5559,Bee Movie,287594577,Born to bee wild.,5.7,29.332905,2007-10-28
49444,Kung Fu Panda 2,665692281,Prepare for the Year of Awesomeness!,6.7,51.247321,2011-05-25
10196,The Last Airbender,318502923,"Four nations, one destiny",4.7,33.769336,2010-06-30
956,Mission: Impossible III,397850012,The Mission Begins 05:05:06.,6.5,63.079003,2006-05-03
117251,White House Down,205366737,It will start like any other day.,6.4,39.004588,2013-06-27
50321,Mars Needs Moms,38992758,Mom needs a little space.,5.5,12.362599,2011-03-09
11619,Flushed Away,64459316,Someone's Going Down,6.0,22.550135,2006-10-22
266647,Pan,128388320,Every legend has a beginning.,5.9,48.03528,2015-09-24
82703,Mr. Peabody & Sherman,272912430,He's Leaving His Mark On History,6.7,38.73494,2014-02-07
652,Troy,497409852,For passion. For honor. For destiny. For victory. For love.,6.9,66.803149,2004-05-13
80321,Madagascar 3: Europe's Most Wanted,746921274,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",6.4,44.989192,2012-06-06
36669,Die Another Day,431971116,He’s never been cooler.,5.8,54.159392,2002-11-17
43074,Ghostbusters,229147509,Who You Gonna Call?,5.3,66.21806,2016-07-14
95,Armageddon,553799566,The Earth's Darkest Day Will Be Man's Finest Hour,6.4,58.485967,1998-07-01
608,Men in Black II,441818803,Same Planet. New Scum.,6.0,91.332849,2002-07-03
2310,Beowulf,195735876,Evil breeds pain.,5.5,35.601665,2007-11-05
140300,Kung Fu Panda 3,521170825,Grab destiny by the rice dumplings.,6.7,56.747978,2016-01-23
56292,Mission: Impossible - Ghost Protocol,694713380,No Plan. No Backup. No Choice.,6.8,77.77477,2011-12-07
81188,Rise of the Guardians,306941670,You better believe.,7.1,61.788035,2012-11-21
7552,Fun with Dick and Jane,202026112,Giving big businesses a run for their money!,5.9,25.159168,2005-12-21
616,The Last Samurai,456758981,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",7.3,52.341226,2003-12-05
147441,Exodus: Gods and Kings,268031828,"Once brothers, now enemies.",5.6,101.599427,2014-12-03
13475,Star Trek,385680446,The future begins.,7.4,73.616808,2009-05-06
557,Spider-Man,821708551,With great power comes great responsibility.,6.8,82.502566,2002-05-01
82702,How to Train Your Dragon 2,609123048,The training is over.,7.6,100.21391,2014-06-12
205584,Gods of Egypt,150680864,The battle for eternity begins,5.3,56.257249,2016-02-25
10048,Stealth,76932943,Fear The Sky,4.9,17.88953,2005-07-28
13183,Watchmen,185258983,Justice is coming to all of us.  No matter what we do.,7.0,64.798873,2009-03-05
944,Lethal Weapon 4,285444603,The faces you love. The action you expect.,6.3,24.855701,1998-07-10
1927,Hulk,245360480,Unleash the hero within,5.3,34.981698,2003-06-19
72559,G.I. Joe: Retaliation,371876278,*No Tag Line*,5.4,59.325589,2013-03-26
7364,Sahara,119269486,Dirk Pitt. Adventure has a new name.,5.7,21.605568,2005-04-06
2114,Final Fantasy: The Spirits Within,85131830,Unleash a new reality,5.9,26.074908,2001-07-02
1771,Captain America: The First Avenger,370569774,When patriots become heroes,6.6,74.506246,2011-07-22
36643,The World Is Not Enough,361832400,As the countdown begins for the new millennium there is still one number you can always count on.,6.0,39.604363,1999-11-08
8619,Master and Commander: The Far Side of the World,212011111,The courage to do the impossible lies in the hearts of men.,6.9,36.973031,2003-11-14
50620,The Twilight Saga: Breaking Dawn - Part 2,829000000,The epic finale that will live forever,6.1,99.687084,2012-11-13
65759,Happy Feet Two,150406466,Every step counts.,5.8,17.7735,2011-11-17
1724,The Incredible Hulk,163712074,You'll like him when he's angry.,6.1,62.898336,2008-06-12
267935,The BFG,183345589,The world is more giant than you can imagine.,6.0,44.19092,2016-06-01
281957,The Revenant,532950503,"(n. One who has returned, as if from the dead.)",7.3,100.635882,2015-12-25
77950,Turbo,282570682,SLO NO MO,6.1,44.765377,2013-07-11
44896,Rango,245724603,Heroes come in all different colors.,6.6,29.91353,2011-03-02
270946,Penguins of Madagascar,373552094,The Movie Event That Will Blow Their Cover,6.5,84.366984,2014-11-22
2503,The Bourne Ultimatum,442824138,Remember everything. Forgive nothing.,7.3,45.381501,2007-08-03
9502,Kung Fu Panda,631744560,Prepare for awesomeness.,6.9,84.689648,2008-06-04
102899,Ant-Man,519311965,Heroes don't get any bigger.,7.0,120.09361,2015-07-14
101299,The Hunger Games: Catching Fire,847423452,Every revolution begins with a spark.,7.4,76.310119,2013-11-15
228161,Home,368871007,Worlds Collide,6.8,63.473086,2015-03-18
74,War of the Worlds,591739379,They're already here.,6.2,48.572726,2005-06-28
8961,Bad Boys II,273339556,"If you can't stand the heat, get out of Miami.",6.3,38.068736,2003-07-18
417859,Puss in Boots,554987477,Live for danger. Fight for justice. Pray for mercy.,6.4,20.678787,2011-10-28
27576,Salt,293329073,Who is Salt?,6.2,48.829437,2010-07-21
86834,Noah,362637473,The end of the world is just the beginning.,5.6,46.115758,2014-03-20
17578,The Adventures of Tintin,371940071,"This year, discover how far adventure will take you.",6.7,89.938296,2011-10-25
673,Harry Potter and the Prisoner of Azkaban,789804554,Something wicked this way comes.,7.7,79.679601,2004-05-31
6972,Australia,49554002,Welcome to Australia!,6.3,28.840997,2008-11-18
82700,After Earth,243843127,"Danger is real, fear is a choice",5.0,42.840582,2013-05-30
10567,Dinosaur,354248063,You have never seen anything like this.,6.2,26.548594,2000-05-19
181533,Night at the Museum: Secret of the Tomb,349424282,One Final Night to Save the Day.,6.1,115.597753,2014-12-17
38055,Megamind,321887208,His brain is off the chain.,6.7,68.757242,2010-10-28
671,Harry Potter and the Philosopher's Stone,976475550,Let the Magic Begin.,7.5,109.984351,2001-11-16
49524,R.I.P.D.,61648500,To protect and serve the living,5.4,39.448066,2013-07-18
22,Pirates of the Caribbean: The Curse of the Black Pearl,655011224,Prepare to be blown out of the water.,7.5,271.972889,2003-07-09
131631,The Hunger Games: Mockingjay - Part 1,752100229,Fire burns brighter in the darkness,6.6,206.227151,2014-11-18
591,The Da Vinci Code,767820459,Seek the truth.,6.5,45.313197,2006-05-17
172385,Rio 2,500188435,"He's villainous, she's venomous.",6.3,42.40024,2014-03-19
36658,X2,407711549,The time has come for those who are different to stand united.,6.8,2.871739,2003-04-24
51497,Fast Five,626137675,Get the Fifth Gear.,7.1,7.255718,2011-04-20
58574,Sherlock Holmes: A Game of Shadows,334615000,The game is afoot.,7.0,81.499621,2011-11-22
18823,Clash of the Titans,232713139,Titans will clash.,5.6,47.686442,2010-04-01
861,Total Recall,261317921,"They stole his mind, now he wants it back.",7.1,43.129703,1990-06-01
1911,The 13th Warrior,61698899,Prey for the living.,6.4,27.220157,1999-08-27
49040,The Bourne Legacy,276572938,There Was Never Just One,6.0,90.33681,2012-08-08
415,Batman & Robin,238207122,Strength. Courage. Honor. And loyalty.,4.2,50.073575,1997-06-20
8871,How the Grinch Stole Christmas,345141403,He puts the mean in green.,6.2,45.419668,2000-11-17
435,The Day After Tomorrow,544272402,Where will you be?,6.2,41.380094,2004-05-26
955,Mission: Impossible II,546388105,Expect the impossible again.,5.9,54.931334,2000-05-24
2133,The Perfect Storm,325756637,The storm is coming.,6.2,25.752118,2000-03-15
1979,Fantastic 4: Rise of the Silver Surfer,289047763,Discover the secret of the Surfer.,5.4,60.810723,2007-06-13
87827,Life of Pi,609016565,Believe The Unbelievable,7.2,51.328145,2012-11-20
1250,Ghost Rider,228738393,Hell Is About To Be Unleashed,5.2,46.834704,2007-02-16
324668,Jason Bourne,415484914,You know his name,5.9,62.641286,2016-07-27
9471,Charlie's Angels: Full Throttle,259175788,This summer the Angels are back.,5.2,33.616115,2003-06-27
70981,Prometheus,403170142,The Search for Our Beginning Could Lead to Our End.,6.3,68.889395,2012-05-30
10996,Stuart Little 2,169956806,A Little Goes A Long Way,5.4,27.990284,2002-07-19
68724,Elysium,286140700,He can save us all.,6.4,67.33767,2013-08-07
2789,The Chronicles of Riddick,115772733,All the power in the universe can't change destiny,6.3,27.835436,2004-06-11
97020,RoboCop,242688965,We've got the future under control.,5.7,66.757869,2014-01-30
7459,Speed Racer,93945766,Go!,5.7,17.060695,2008-05-09
42888,How Do You Know,48668907,How do you know it's love?,4.9,11.137655,2010-12-17
37834,Knight and Day,261930431,Every Hit Man Deserves a Second Shot!,5.9,44.906918,2010-06-15
75612,Oblivion,286168572,Earth is a memory worth fighting for,6.4,67.698004,2013-04-10
1895,Star Wars: Episode III - Revenge of the Sith,850000000,The saga is complete.,7.1,44.108427,2005-05-17
1894,Star Wars: Episode II - Attack of the Clones,649398328,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4,43.987061,2002-05-15
585,"Monsters, Inc.",562816256,We Scare Because We Care.,7.5,106.815545,2001-11-01
76170,The Wolverine,415440673,"When he's most vulnerable, he's most dangerous.",6.3,15.953444,2013-07-23
1893,Star Wars: Episode I - The Phantom Menace,924317558,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.3,54.035265,1999-05-19
49519,The Croods,585178928,Meet the first modern family.,6.8,64.183321,2013-03-20
12100,Windtalkers,77628265,Honor Was Their Code.,5.8,18.714197,2002-06-14
290595,The Huntsman: Winter's War,164602163,The story before Snow White,6.0,60.467984,2016-04-06
98566,Teenage Mutant Ninja Turtles,477200000,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8,143.350376,2014-08-07
49047,Gravity,716392705,Don't Let Go,7.3,110.153618,2013-09-27
9619,Dante's Peak,178127760,The pressure is building...,5.7,16.90444,1997-02-07
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,Raise some shell.,5.8,39.873791,2016-06-01
166424,Fantastic Four,167977596,Change is coming.,4.4,38.126095,2015-08-05
1593,Night at the Museum,574480841,Where History Comes To Life,6.3,48.780039,2006-10-20
254128,San Andreas,470490832,"A rescue pilot survived an earthquake, this is what happens next",6.0,100.412364,2015-05-27
714,Tomorrow Never Dies,333011068,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,6.0,42.887121,1997-12-11
2024,The Patriot,215294342,Some things are worth fighting for.,6.8,23.657284,2000-06-28
163,Ocean's Twelve,362744280,Twelve is the new eleven.,6.4,76.840712,2004-12-09
787,Mr. & Mrs. Smith,478207520,Smart and sexy.,6.5,44.635452,2005-06-07
262500,Insurgent,295238201,One Choice Can Destroy You,6.2,103.718387,2015-03-18
2567,The Aviator,102000000,"For some men, the sky was the limit. For him, it was just the beginning.",7.0,45.616098,2004-12-17
38745,Gulliver's Travels,237382724,Something big is going down.,4.9,22.845143,2010-12-25
40805,The Green Hornet,227817248,Breaking the Law to Protect It.,5.5,31.703608,2011-01-12
53182,300: Rise of an Empire,337580051,Seize your glory!,6.1,71.510596,2014-03-05
41513,The Smurfs,563749323,Smurf Happens.,5.5,36.65422,2011-07-29
13700,Home on the Range,103951461,Bust a Moo,5.7,19.625972,2004-04-02
262504,Allegiant,179246868,Break the boundaries of your world,5.9,86.105615,2016-03-09
39254,Real Steel,299268508,"If you get one shot, make it real.",6.6,37.195046,2011-09-28
77931,The Smurfs 2,347434178,Get ready to get naughty!,5.5,32.473628,2013-07-30
1639,Speed 2: Cruise Control,164508066,"As the stakes get higher, the ride gets even faster.",4.1,23.336875,1997-06-13
80274,Ender's Game,125537191,This is not a game.,6.6,45.94834,2013-10-23
1571,Live Free or Die Hard,383531464,The old school cop is back!,6.4,48.93337,2007-06-20
120,The Lord of the Rings: The Fellowship of the Ring,871368364,One ring to rule them all,8.0,138.049577,2001-12-18
10204,Around the World in 80 Days,72178895,Let your imagination soar.,5.7,22.643776,2004-06-16
8489,Ali,87713825,Float like a butterfly and sting like a bee.,6.7,18.866672,2001-12-11
10588,The Cat in the Hat,0,Don't mess with the hat.,4.9,18.251129,2003-11-21
2048,"I, Robot",347234916,Laws are made to be broken.,6.7,95.914473,2004-07-15
1495,Kingdom of Heaven,211643158,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",6.6,44.490453,2005-05-03
10137,Stuart Little,300135367,The Little Family Just Got Bigger,5.8,30.475297,1999-12-17
10198,The Princess and the Frog,267045765,Every Love Story Begins With a Kiss...,6.7,62.479574,2009-12-08
286217,The Martian,630161890,Bring Him Home,7.6,167.93287,2015-09-30
1635,The Island,162949164,Your time will come...,6.5,37.68056,2005-07-20
24113,Town & Country,10372291,There's no such thing as a small affair.,3.7,1.004579,2001-04-27
9679,Gone in Sixty Seconds,237202299,"Ice Cold, Hot Wired.",6.1,52.995628,2000-06-09
98,Gladiator,457640427,A Hero Will Rise.,7.9,95.301296,2000-05-01
180,Minority Report,358372926,The system is perfect until it comes after you.,7.1,65.948959,2002-06-20
672,Harry Potter and the Chamber of Secrets,876688482,Hogwarts is back in session.,7.4,132.397737,2002-11-13
36557,Casino Royale,599045960,Everyone has a past. Every legend has a beginning.,7.3,88.935165,2006-11-14
869,Planet of the Apes,362211740,You'll be sorry you were ever born human,5.6,51.188633,2001-07-25
280,Terminator 2: Judgment Day,520000000,It's nothing personal.,7.7,101.74155,1991-07-01
11322,Public Enemies,214104620,America's Most Wanted.,6.5,33.691694,2009-07-01
4982,American Gangster,266465037,There are two sides to the American dream,7.4,42.361215,2007-11-02
36955,True Lies,378882411,"When he said I do, he never said what he did.",6.8,38.729418,1994-07-14
18487,The Taking of Pelham 1 2 3,150166126,I can't get it out of my head. I'm gonna die today.,6.2,40.597856,2009-06-11
39451,Little Fockers,310650585,"Kids bring everyone closer, right?",5.4,32.389353,2010-12-21
27581,The Other Guys,170432927,When the cops are busy... Our only hope is...,6.1,24.399642,2010-08-06
9268,Eraser,242295562,He will erase your past to protect your future.,5.6,24.507987,1996-06-21
68718,Django Unchained,425368238,"Life, liberty and the pursuit of vengeance.",7.8,82.121691,2012-12-25
10545,The Hunchback of Notre Dame,100138851,*No Tag Line*,6.8,46.727941,1996-06-21
11688,The Emperor's New Groove,169327687,It's All About.....ME!,7.2,51.113717,2000-12-09
76163,The Expendables 2,312573423,Back for War.,6.1,53.732892,2012-08-08
2059,National Treasure,347451894,The greatest adventure history has ever revealed.,6.4,58.849256,2004-11-19
2486,Eragon,249288105,"As darkness falls, the last dragon will choose its rider.",4.9,30.863434,2006-12-14
16523,Where the Wild Things Are,100086793,There's one in all of us.,6.4,31.586215,2009-10-16
116711,Epic,268426634,Discover a world beyond your imagination,6.4,36.711378,2013-05-15
37710,The Tourist,278731369,It all started when he met a woman,6.0,41.426678,2010-12-08
9946,End of Days,211989043,Prepare for the end.,5.5,20.652943,1999-11-24
1372,Blood Diamond,170877916,It will cost you everything.,7.3,52.792678,2006-12-07
106646,The Wolf of Wall Street,392000694,EARN. SPEND. PARTY.,7.9,95.007934,2013-12-25
414,Batman Forever,336529144,"Courage now, truth always...",5.2,48.205606,1995-05-31
563,Starship Troopers,121214377,The only good bug is a dead bug.,6.7,58.782359,1997-11-06
83542,Cloud Atlas,130482868,Everything is Connected,6.6,73.872343,2012-10-26
41216,Legend of the Guardians: The Owls of Ga'Hoole,140073390,On his way to finding a legend...he will become one.,6.5,37.321848,2010-07-10
314,Catwoman,82102379,CATch her in IMAX,4.2,32.271938,2004-07-22
184315,Hercules,243400000,"Before he was a legend, he was a man.",5.6,76.842247,2014-07-23
9016,Treasure Planet,109578115,Find your place in the universe.,7.2,38.924136,2002-11-26
18162,Land of the Lost,68688831,Right place. Wrong time.,5.3,19.38841,2009-06-05
138103,The Expendables 3,206172544,New team. New attitude. New mission.,6.1,61.025639,2014-08-04
